1.6047	80.41	26.454
1.5643	80.241	26.407
1.6226	80.813	26.235
1.7033	80.838	26.325
1.8306	80.922	26.446
1.8656	80.705	26.482
2.1218	80.623	26.516
2.1872	80.705	26.442
2.2693	80.828	26.339
2.3226	81.03	26.277
2.413	81.037	26.218
2.3964	81.043	26.133
2.4386	80.832	26.171
2.5702	80.959	26.15
2.6389	81.212	26.129
2.7637	81.001	26.353
2.7637	80.621	26.433
2.7994	81.001	26.458
2.7994	81.043	26.556
2.7815	80.832	26.721
2.8172	81.085	26.831
2.9598	81.17	26.878
3.2095	81.55	26.973
3.1916	81.676	27.091
3.2451	81.592	27.138
3.3878	81.55	27.256
3.4948	81.634	27.303
3.7622	81.761	27.421
3.9405	81.845	27.586
3.8692	81.634	27.774
3.8514	81.507	28.034
3.9049	81.127	28.152
3.9762	81.085	28.317
4.1723	80.705	28.576
4.0653	80.748	28.835
4.1545	80.494	28.953
4.1366	80.03	29.189
4.1723	79.861	29.378
4.2258	79.692	29.684
4.4576	79.566	29.896
4.5467	79.354	30.109
4.4576	79.312	30.226
4.5467	79.523	30.509
4.4933	79.228	30.816
4.6002	79.059	30.957
4.7251	79.354	31.169
4.7964	79.228	31.311
5.0817	79.354	31.57
5.153	79.312	31.971
5.2243	79.692	32.372
5.1351	79.945	32.584
5.3313	80.199	32.961
5.4026	80.157	33.362
5.4739	80.157	33.928
5.5096	80.199	34.376
5.4918	80.663	34.494
5.5631	80.874	34.706
5.7949	81.17	34.965
5.9019	81.339	35.131
6.0802	81.676	35.413
6.2941	82.141	35.602
6.3476	82.352	35.909
6.4903	82.394	36.168
6.6507	82.098	36.357
6.8825	81.761	36.545
7.1322	81.803	36.687
7.257	81.507	36.757
7.4353	81.296	36.993
7.7384	81.296	37.158
8.095	81.465	37.347
8.3446	81.803	37.512
8.6656	81.718	37.653
8.9508	81.592	37.96
9.2361	81.634	38.172
9.3788	82.014	38.408
9.5749	82.647	38.667
9.771	83.196	39.021
10.003	83.323	39.139
10.449	83.323	39.28
10.752	83.069	39.445
10.948	83.027	39.516
11.108	83.069	39.87
11.501	83.027	40.058
11.804	83.154	40.082
12.089	83.534	40.294
12.428	84.251	40.435
12.713	84.842	40.813
12.856	85.222	40.978
12.838	85.476	41.143
13.141	85.856	41.119
13.426	86.193	41.591
13.587	86.953	41.968
13.676	87.038	42.322
13.908	87.249	42.369
14.104	87.502	42.605
14.246	87.755	42.864
14.175	87.713	43.288
14.496	87.713	43.618
14.46	87.797	43.949
14.514	88.135	44.231
14.603	88.431	44.562
14.639	89.022	44.962
14.835	89.317	45.434
14.96	89.993	45.764
15.013	90.457	46.165
15.174	90.921	46.636
15.12	91.301	47.32
15.067	91.808	47.815
15.12	92.061	48.192
15.084	92.441	48.428
14.995	92.99	48.499
14.906	93.116	48.593
15.031	93.496	48.711
14.995	93.201	49.041
15.102	93.159	49.183
15.281	93.412	49.395
15.477	93.918	49.489
15.352	94.383	49.843
15.191	95.016	50.173
15.191	95.269	50.503
15.281	95.565	50.762
15.245	95.396	50.904
15.191	95.987	51.328
15.138	96.578	51.611
15.227	97.253	51.894
14.942	97.718	52.224
15.138	98.098	52.413
15.298	98.435	52.719
15.512	98.9	52.837
15.637	99.406	53.238
15.78	99.828	53.521
15.798	100.55	53.733
15.869	101.6	53.851
15.833	102.23	54.181
15.994	102.87	54.488
16.119	103.33	54.936
16.35	103.84	55.148
16.529	104.18	55.384
16.564	104.51	55.643
16.6	104.77	55.926
16.636	105.27	56.115
16.743	105.78	56.303
16.992	106.03	56.397
17.153	106.75	56.68
17.26	106.75	56.916
17.563	106.88	57.27
17.937	106.96	57.411
18.044	106.54	57.694
18.33	106.54	58.095
18.383	106.41	58.496
18.579	106.29	59.062
18.74	105.91	59.722
18.989	105.7	60.123
19.31	105.06	60.382
19.435	104.3	60.618
19.578	104.09	60.948
19.685	103.54	61.302
19.899	103.25	61.514
20.077	103.04	61.82
20.255	102.49	62.032
20.434	102.28	62.363
20.612	102.23	62.763
20.879	101.73	62.952
21.04	101.6	63.306
21.147	101.77	63.565
21.254	101.85	63.895
21.289	101.81	63.919
21.557	101.47	63.706
21.717	101.26	63.424
22.038	101.52	63.093
22.074	101.26	62.433
22.181	101.14	61.797
21.985	100.88	61.137
21.396	100.76	60.524
20.933	100.67	59.745
20.434	99.913	59.038
19.738	98.562	58.378
19.292	97.549	57.789
18.758	95.903	57.152
18.24	94.383	56.256
17.581	93.201	55.596
16.85	91.934	54.747
16.35	90.668	53.993
15.798	89.233	53.285
15.174	87.84	52.389
14.585	86.362	51.093
13.997	84.589	49.819
13.337	83.154	48.523
12.784	81.845	47.249
12.232	80.536	46.188
11.447	79.186	44.915
10.484	77.708	43.571
9.6641	76.526	42.345
8.826	74.542	41.214
7.9167	71.967	40.105
6.829	69.687	38.856
5.6522	67.45	37.63
4.4754	64.706	36.522
3.3165	62.258	35.319
2.0862	59.472	34.022
1.2838	57.53	32.796
0.74888	55.081	31.594
